"team","teamscore","homescore","offense","defense","offhomeadv","defhomeadv","week"
"248","TAM",13.8,28,3.1,10.6,10,-0.1,12
"249","SC",13.6,27,7.5,6.1,3.2,0.4,12
"250","VA",13.6,27,5.7,7.9,8.1,-0.1,12
"251","UMIA",13.3,27,0.9,12.4,1.6,-0.9,12
"252","TCU",13.2,26,6.1,7.1,2.6,7.6,12
"253","WAS",13.2,26,12.7,0.6,9.7,-0.2,12
"254","MS",12.2,24,5.7,6.5,-0.6,-1.8,12
"255","NIA",11.8,24,-2.3,14.1,0.1,0.2,12
"256","CA",11,22,-0.6,11.6,-4,-3.6,12
"257","BOIS",10.8,22,8.6,2.2,0.6,7.6,12
"258","DUKE",10.6,21,3.1,7.5,3.2,-5.7,12
"259","FLS",10.4,21,3.8,6.6,0.8,-1,12
"260","LOUIS",10,20,12.9,-2.9,-5.3,6.6,12
"261","PITT",9.9,20,-0.1,10,-0.3,0.5,12
"262","MIS",9.8,20,1.4,8.4,3.6,5.1,12
"263","MSS",9.7,19,9.1,0.6,-7,7.7,12
"264","PRAIRIE",9.6,19,4.5,5,4.7,4.9,12
"265","TULN",9.5,19,7.7,1.9,6.7,6.3,12
"266","TULS",9.5,19,1.8,7.7,1.4,-3.6,12
"267","ARMY",9,18,-3.3,12.3,5.5,-6.2,12
"268","ORS",9,18,7,2.1,-5,-1.8,12
"269","UCLA",8.8,18,6.7,2.1,-2.1,-3.2,12
"270","AZS",8.6,17,0.6,8,1.1,-0.4,12
"271","HOUS",8.3,17,4.2,4.1,-3,0.1,12
"272","WKY",8.3,17,0,8.3,-2.6,-0.7,12
"273","BY",8,16,2.6,5.4,-0.9,-0.8,12
"274","SDS",8,16,-3.8,11.8,-5.4,-0.5,12
"275","TN",7.9,16,-0.3,8.2,2.2,2.9,12
"276","NC",7.8,16,5.2,2.6,2.6,4.7,12
"277","SCARO",7.2,14,1.5,5.6,6,2.6,12
"278","BOSCO",7.1,14,8.1,-0.9,-1,0.6,12
"279","OH",7,14,0.5,6.4,2.6,-9.4,12
"280","BALL",6.5,13,4.9,1.6,4.2,0,12
"281","HI",6.3,13,10.2,-3.9,-1,-0.6,12
"282","GASO",6.1,12,-0.4,6.6,-3.6,5.7,12
"283","WF",6.1,12,4.6,1.5,6.3,2.1,12
"284","WY",6.1,12,0.9,5.3,0.2,2.4,12
"285","MARSH",6,12,-1.8,7.8,6.5,-5.3,12
"286","KS",5.9,12,6.2,-0.3,-7.9,1.1,12
"287","IL",5.6,11,-0.1,5.6,6.6,-3.1,12
"288","TXT",4.9,10,0.5,4.4,9,3.2,12
"289","NE",4.5,9,2.9,1.7,1.5,2.9,12
"290","UTS",4.4,9,0.6,3.8,2.4,0.9,12
"291","TEMP",4.1,8,-2.6,6.7,3.4,2.4,12
"292","NORW",4,8,-5.6,9.6,-1.1,-3.4,12
"293","SFL",3.7,7,-0.6,4.3,-2.7,-0.3,12
"294","DE",3.4,7,-1.7,5.1,-0.2,0.2,12
"295","KY",3,6,-4.7,7.6,7.2,2,12
"296","FREST",2.9,6,2.4,0.5,5.3,-1.3,12
"297","ST",2.8,6,1.2,1.6,-1.6,8.2,12
"298","PURD",2.7,5,1.8,0.9,0.5,1.8,12
"299","COAST",2.2,4,-0.6,2.8,-3.4,-1.6,12
"300","GT",2.2,4,3.6,-1.4,-0.1,0.2,12
"301","BUFF",2,4,-0.4,2.5,6.8,5.9,12
"302","ARS",1.9,4,6.3,-4.4,-0.5,5.9,12
"303","SJS",1.9,4,5.4,-3.5,-1.6,-0.8,12
"304","IDS",1.7,3,-2.3,4,0,0.3,12
"305","KENNES",1.6,3,-2.5,4.2,-0.2,-0.2,12
"306","WV",1,2,-2.2,3.2,2.2,-3.9,12
"307","AZ",0.9,2,3.1,-2.2,4.6,-0.4,12
"308","MO",0.8,2,-2.3,3,9.9,11.3,12
"309","GAS",0.7,1,7.3,-6.6,7.5,-0.5,12
"310","CMI",0.4,1,0.7,-0.3,8.1,4,12
"311","MD",0.2,0,1.9,-1.7,8,1.9,12
"312","SMS",0.1,0,0.5,-0.3,4.6,5.9,12
"313","EMI",0,0,2.7,-2.7,-4.2,0,12
"314","LAT",-0.1,0,-0.9,0.9,10.1,-2.8,12
"315","MT",-0.1,0,-3.6,3.5,0.1,0.3,12
"316","FURM",-0.5,-1,-0.6,0,0.2,0.5,12
